Instance,Method,Average objective,Best objective,Improvement (%),Average running time (s),Best solution string
F_10,SA-new operators (equal weights),1476.4,1412.0,54.8,2.145,"0,5,8,4,2,10,0|7,1,6,-1,3,9|2,4,5,-1,2,4|3,5,6,-1,4,5"
F_20,SA-new operators (equal weights),3808.2,3386.0,66.8,3.681,"0,8,16,14,1,18,4,9,17,20,19,0|7,6,5,11,12,13,-1,15,2,10,3|2,3,4,8,9,10,-1,3,6,9,10|3,4,7,9,10,11,-1,5,9,10,11"
F_50,SA-new operators (equal weights),17705.9,15488.0,79.2,5.589,"0,40,50,20,46,33,24,42,9,12,47,26,11,35,41,19,44,6,29,43,8,27,5,30,15,39,48,1,10,23,34,37,16,32,36,0|3,17,2,38,18,22,21,28,14,49,-1,13,4,7,45,31,25|2,5,8,12,13,15,19,22,29,33,-1,4,6,10,13,19,22|5,8,11,13,15,18,22,25,30,35,-1,6,7,11,15,22,25"
F_100,SA-new operators (equal weights),68254.7,54285.0,79.1,9.516,"0,61,28,92,86,8,74,15,68,16,10,89,20,35,84,87,81,83,30,52,78,3,80,43,50,49,17,19,93,55,70,65,47,23,57,72,14,21,33,71,44,51,95,25,39,82,2,37,45,59,38,73,26,58,85,46,75,69,18,90,79,34,22,53,96,64,48,6,41,9,62,0|1,29,11,63,76,99,77,31,13,66,36,7,98,67,100,54,12,42,5,-1,24,94,32,27,60,56,4,88,91,97,40|2,3,6,8,15,16,17,21,25,26,29,31,33,34,40,42,55,63,67,-1,3,4,6,9,15,20,22,29,33,35,40|3,6,8,10,16,17,21,24,26,28,30,33,34,36,42,44,57,65,68,-1,4,6,9,10,17,21,25,31,34,36,44"
R_10,SA-new operators (equal weights),672.9,596.0,76.7,2.574,"0,2,9,1,8,5,0|10,6,-1,4,7,3|1,2,-1,2,4,5|2,7,-1,4,5,6"
R_20,SA-new operators (equal weights),2594.9,2369.0,74.2,3.509,"0,10,3,4,5,1,14,7,16,19,20,12,0|11,9,15,13,2,-1,17,18,6,8|1,4,7,10,11,-1,1,5,6,7|4,7,8,11,12,-1,4,6,7,9"
R_50,SA-new operators (equal weights),15133.9,12173.0,82.8,6.763,"0,15,5,27,39,48,34,6,44,36,29,2,42,47,33,24,9,12,17,43,14,1,10,3,21,50,40,26,35,11,38,45,0|28,37,49,22,32,41,13,46,20,8,25,18,-1,30,31,16,19,4,7,23|1,4,7,8,9,10,12,15,16,20,24,28,-1,1,2,5,9,15,17,21|3,7,8,9,10,12,15,16,19,22,26,31,-1,2,4,8,11,16,19,23"
R_100,SA-new operators (equal weights),63186.6,52618.0,80.7,9.876,"0,71,43,24,31,30,22,1,66,55,2,54,13,64,7,42,83,8,12,96,56,17,33,27,34,76,91,29,36,89,67,25,82,21,20,78,18,60,81,51,77,53,10,19,16,87,57,59,61,94,62,63,5,65,26,35,48,68,11,90,74,84,3,58,93,15,95,100,44,28,86,41,14,0|98,4,88,85,6,79,45,69,92,39,49,38,73,97,9,40,-1,47,23,50,32,70,37,75,99,72,46,80,52|2,4,8,9,13,15,18,20,34,35,44,50,56,60,66,73,-1,2,5,8,11,13,18,34,37,44,50,51,58|4,6,9,12,14,17,20,21,35,38,46,52,59,62,68,74,-1,5,6,9,13,16,21,37,39,47,51,53,61"
F_10,SA-new operators (tuned weights),1573.4,1497.0,52.0,2.175,"0,7,4,8,9,2,10,0|3,1,6,-1,5|2,4,6,-1,2|4,5,7,-1,4"
F_20,SA-new operators (tuned weights),3572.1,3397.0,66.7,3.165,"0,6,18,4,9,17,20,3,16,7,8,0|1,11,13,19,15,-1,14,5,12,2,10|2,3,6,7,8,-1,2,3,4,6,7|3,5,7,8,9,-1,3,4,6,7,8"
F_50,SA-new operators (tuned weights),19537.7,15766.0,78.8,4.846,"0,50,3,10,1,23,14,48,34,36,6,44,22,45,46,47,9,12,27,15,30,31,25,40,20,13,33,24,4,26,35,11,38,18,16,0|21,2,39,29,37,19,7,5,-1,17,43,8,32,49,41,42,28|2,3,5,7,9,13,15,20,-1,2,3,5,8,10,13,16,21|3,5,7,9,12,14,18,22,-1,3,5,8,10,12,14,18,23"
F_100,SA-new operators (tuned weights),69067.4,51197.0,80.3,9.666,"0,71,54,25,12,77,39,76,82,93,43,36,45,59,20,89,6,13,19,17,16,53,15,32,74,11,48,5,42,10,27,68,79,9,14,67,23,18,60,83,30,56,52,78,3,80,7,88,55,65,98,47,90,97,72,61,29,28,26,73,33,85,95,51,44,100,46,75,37,38,57,58,0|40,21,69,50,41,4,49,86,94,96,64,22,34,91,99,70,31,1,8,-1,87,84,2,66,35,63,92,62,81,24|2,4,7,9,14,15,19,22,23,26,28,32,33,37,40,46,48,52,57,-1,3,7,12,13,14,22,24,34,40,54|4,7,9,14,15,19,20,23,26,27,30,33,36,39,41,47,49,56,58,-1,6,9,13,14,16,23,25,37,41,55"
R_10,SA-new operators (tuned weights),655.6,595.0,76.8,2.592,"0,2,4,8,7,5,1,0|10,6,-1,9,3|1,2,-1,2,4|2,8,-1,4,6"
R_20,SA-new operators (tuned weights),2801.3,2423.0,73.6,4.163,"0,17,9,4,5,1,14,7,16,10,19,0|3,2,6,8,15,13,-1,12,11,18,20|1,2,5,7,9,10,-1,1,3,4,10|2,5,7,9,10,11,-1,2,4,6,11"
R_50,SA-new operators (tuned weights),15315.1,12621.0,82.2,5.762,"0,21,3,17,24,4,26,35,11,18,19,36,6,44,49,34,14,8,29,1,10,27,5,7,42,47,46,50,40,15,0|25,12,20,45,41,22,37,23,43,48,13,28,-1,30,9,33,38,16,32,31,2,39|1,3,4,7,10,12,14,16,18,20,24,30,-1,1,4,5,8,12,15,16,18,21|2,4,7,10,11,14,16,17,19,23,27,31,-1,4,5,8,10,15,16,18,19,23"
R_100,SA-new operators (tuned weights),63857.4,52278.0,80.8,9.422,"0,14,40,71,72,94,67,1,2,22,58,54,3,96,12,8,10,16,43,24,82,7,53,38,80,34,27,33,5,41,86,28,79,42,70,81,73,84,74,89,61,49,57,59,64,6,30,23,31,47,75,15,95,99,32,60,55,88,97,90,51,77,36,44,19,83,63,65,26,11,66,0|87,25,91,29,85,45,98,4,62,37,69,35,48,13,92,20,21,18,9,50,52,-1,46,93,78,76,17,56,68,39,100|4,5,6,8,9,14,19,20,23,27,31,36,39,45,47,50,51,53,55,60,70,-1,5,6,9,24,25,29,36,49,53|5,6,8,9,12,16,20,21,26,31,34,39,40,46,50,51,53,55,59,61,71,-1,6,9,10,25,29,30,39,53,55"
